Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Studio in Biblioteca,09/15/2025,10:15 AM,09/15/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,09/15/2025,8:15 AM,09/15/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
Studio in Biblioteca,09/16/2025,2:00 PM,09/16/2025,4:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,09/17/2025,10:15 AM,09/17/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,09/17/2025,2:15 PM,09/17/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,09/17/2025,4:15 PM,09/17/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,09/18/2025,4:15 PM,09/18/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,09/18/2025,8:15 AM,09/18/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
Geometria e Algebra Lineare,09/19/2025,1:15 PM,09/19/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,09/19/2025,4:15 PM,09/19/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,09/19/2025,9:00 AM,09/19/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,09/22/2025,10:15 AM,09/22/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,09/22/2025,8:15 AM,09/22/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
Studio in Biblioteca,09/23/2025,2:00 PM,09/23/2025,4:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,09/24/2025,10:15 AM,09/24/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,09/24/2025,2:15 PM,09/24/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,09/24/2025,4:15 PM,09/24/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,09/25/2025,4:15 PM,09/25/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,09/25/2025,8:15 AM,09/25/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
Geometria e Algebra Lineare,09/26/2025,1:15 PM,09/26/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,09/26/2025,4:15 PM,09/26/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,09/26/2025,9:00 AM,09/26/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,09/29/2025,10:15 AM,09/29/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,09/29/2025,8:15 AM,09/29/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
Studio in Biblioteca,09/30/2025,2:00 PM,09/30/2025,4:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/01/2025,10:15 AM,10/01/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,10/01/2025,2:15 PM,10/01/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,10/01/2025,4:15 PM,10/01/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,10/02/2025,4:15 PM,10/02/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,10/02/2025,8:15 AM,10/02/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
Geometria e Algebra Lineare,10/03/2025,1:15 PM,10/03/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,10/03/2025,4:15 PM,10/03/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,10/03/2025,9:00 AM,10/03/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,10/06/2025,10:15 AM,10/06/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/06/2025,8:15 AM,10/06/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
Studio in Biblioteca,10/07/2025,2:00 PM,10/07/2025,4:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/08/2025,10:15 AM,10/08/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,10/08/2025,2:15 PM,10/08/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,10/08/2025,4:15 PM,10/08/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,10/09/2025,4:15 PM,10/09/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,10/09/2025,8:15 AM,10/09/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
